Number,Type,Subtype,SwitchOn,SexDep,Mutability,Data,ParsedData
98,0x02 (Creature),0x03 (Pose),0 (Embryo),None,"Mutable,Deletable",,
99,0x02 (Creature),0x03 (Pose),0 (Embryo),None,"Mutable,Deletable",,
100,0x02 (Creature),0x03 (Pose),0 (Embryo),None,"Mutable,Deletable",,
40,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 4 15 68 106 0 255,
101,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
102,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
103,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
104,0x02 (Creature),0x03 (Pose),0 (Embryo),None,None,,
8,0x02 (Creature),0x04 (Gait),0 (Embryo),None,None,,
45,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,Duplicable,1 68 1 0 2 12 1,"{'reactants': [{'chem': 68, 'proportion': 1, 'chem_name': 'Chem44'}], 'products': [{'chem': 0, 'proportion': 1, 'chem_name': 'Pain'}], 'rate': 1}"
41,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 4 5 7 230 0 255,
42,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,,
19,0x02 (Creature),0x05 (Instinct),0 (Embryo),None,None,,
51,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1,
26,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,"Mutable,Deletable",23,
27,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,"Mutable,Duplicable",1 4 1 11 0 47 8,
51,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1,
26,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,"Mutable,Deletable",23,
27,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,"Mutable,Duplicable",1 4 1 11 0 47 8,
47,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1 69 1 58 1 0 1,"{'reactants': [{'chem': 69, 'proportion': 1, 'chem_name': 'Chem45'}], 'products': [{'chem': 58, 'proportion': 1, 'chem_name': 'Chem3A'}], 'rate': 1}"
48,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,Duplicable,1 69 1 64 1 45 1 0 72 103 101 110 101 1 2,"{'reactants': [{'chem': 69, 'proportion': 1, 'chem_name': 'Chem45'}], 'products': [{'chem': 64, 'proportion': 1, 'chem_name': 'Chem40'}], 'rate': 72}"
50,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,Duplicable,1 69 1 56 1 0 1,"{'reactants': [{'chem': 69, 'proportion': 1, 'chem_name': 'Chem45'}], 'products': [{'chem': 56, 'proportion': 1, 'chem_name': 'Chem38'}], 'rate': 1}"
10,0x02 (Creature),0x05 (Instinct),0 (Embryo),None,Mutable,3 3 0 0 0 0 3,
1,0x02 (Creature),0x06 (Pigment),0 (Embryo),None,None,0 64 103 101 110 101 2,
12,0x02 (Creature),0x05 (Instinct),0 (Embryo),None,Mutable,3 6 0 0 0 0 6,
2,0x02 (Creature),0x06 (Pigment),0 (Embryo),None,None,1 90 103 101 110 101 2,
14,0x02 (Creature),0x05 (Instinct),0 (Embryo),None,Mutable,3 8 0 0 0 0 8,
3,0x02 (Creature),0x06 (Pigment),0 (Embryo),None,None,2 134 103 101 110 101 2,
16,0x02 (Creature),0x05 (Instinct),0 (Embryo),None,Mutable,3 10 0 0 0 0 10,
17,0x02 (Creature),0x05 (Instinct),0 (Embryo),None,Mutable,3 11 0 0 0 0 11,
18,0x02 (Creature),0x05 (Instinct),0 (Embryo),None,None,1 8 5 15 0 0 5,
41,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,1 4 5 7 230 0 255,
42,0x01 (Biochemistry),0x00 (Receptor),0 (Embryo),None,None,,
19,0x02 (Creature),0x05 (Instinct),0 (Embryo),None,None,,
51,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,1,
25,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,"Mutable,Deletable",1 2 0 0 0 82 5 6 103 101 110 101 1 1 26 0 5 15 1 4 0 64 0,
26,0x02 (Creature),0x00 (Stimulus),0 (Embryo),None,"Mutable,Deletable",23,
27,0x01 (Biochemistry),0x01 (Emitter),0 (Embryo),None,"Mutable,Duplicable",1 4 1 11 0 47 8,
52,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,,
20,0x02 (Creature),0x05 (Instinct),0 (Embryo),None,Duplicable,,
53,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,,
54,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,,
55,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,,
56,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,,
57,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,,
58,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,,
59,0x01 (Biochemistry),0x02 (Reaction),0 (Embryo),None,None,,
